| 2021:04:26 12:38:40,957 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:38:40,957 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 7.28ms
| 2021:04:26 12:38:58,800 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:38:58,800 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:38:58,800 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 1.87ms
| 2021:04:26 12:39:01,034 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:39:01,034 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:39:01,034 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 2.11ms
| 2021:04:26 12:39:01,926 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:39:01,927 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:39:01,928 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 6.94ms
| 2021:04:26 12:52:53,102 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:52:53,102 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:52:53,102 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 1.95ms
| 2021:04:26 12:53:13,159 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:53:13,160 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:53:13,160 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 5.41ms
| 2021:04:26 12:53:14,170 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:53:14,171 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:53:14,171 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 3.94ms
| 2021:04:26 12:53:14,661 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:53:14,663 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:53:14,664 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 7.44ms
| 2021:04:26 12:53:22,512 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:53:22,513 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:53:22,513 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 3.74ms
| 2021:04:26 12:53:59,147 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:53:59,148 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:53:59,149 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 6.87ms
| 2021:04:26 12:55:39,143 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:55:39,143 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:55:39,144 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 3.99ms
| 2021:04:26 12:56:01,675 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:56:01,676 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:56:01,677 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 5.02ms
| 2021:04:26 12:56:06,358 | I | root | forms/forms.py +76 get Hello	
| 2021:04:26 12:56:06,358 | D | root | forms/forms.py +94 get RSP	{'code': 2000, 'status': True, 'message': ''}
| 2021:04:26 12:56:06,358 | I | tornado.access | 200 GET /web/api/forms (127.0.0.1) 1.97ms
| 2021:04:26 12:56:07,153 | I | root | forms/forms.py +76 get Hello	
